Source path,Artifact ID,Group ID,Name,Description,Version,Parent project,Module count
exist-ant/pom.xml,exist-ant,,eXist-db Ant Tasks,Ant Tasks for eXist-db NoSQL Database Client/Server,,,
exist-core-jcstress/pom.xml,exist-core-jcstress,,eXist-db Core JCStress Tests,,,,
exist-core-jmh/pom.xml,exist-core-jmh,,eXist-db Core JMH benchmarks,JMH Benchmarks for exist-core,,,
exist-core/pom.xml,exist-core,,eXist-db Core,eXist-db NoSQL Database Core,,,
exist-distribution/pom.xml,exist-distribution,,eXist-db Distributions,Distributions for eXist-db NoSQL Database Client/Server,,,
exist-docker/pom.xml,exist-docker,,eXist-db Docker Image,Minimal Docker Image of eXist-db NoSQL Database Client/Server with FO support,,,
exist-installer/pom.xml,exist-installer,,eXist-db IzPack Installer,IzPack Installer for eXist-db NoSQL Database Client/Server,,,
exist-jetty-config/pom.xml,exist-jetty-config,,eXist-db Jetty Configuration,Configuration for eXist-db NoSQL Database Jetty Server,,,
exist-parent/pom.xml,exist-parent,org.exist-db,eXist-db Parent,eXist-db NoSQL Database,7.0.0-SNAPSHOT,,
exist-samples/pom.xml,exist-samples,,eXist-db Data Samples,Data samples for eXist-db NoSQL Database,,,
exist-service/pom.xml,exist-service,,eXist-db Service,Operating System Service for eXist-db NoSQL Database Jetty Server,,,
exist-start/pom.xml,exist-start,,eXist-db Startup,Startup for eXist-db NoSQL Database Client/Server,,,
exist-xqts/pom.xml,exist-xqts,,eXist-db W3C XQTS,eXist-db W3C XQuery Test Suite,,,
extensions/contentextraction/pom.xml,exist-contentextraction,,eXist-db Content Extraction Extension,eXist-db NoSQL Database Content Extraction Extension,,,
extensions/debuggee/pom.xml,exist-debuggee,,eXist-db XQuery Debugger Extension,eXist-db NoSQL Database XQuery Debugger Extension,,,
extensions/exiftool/pom.xml,exist-exiftool,,eXist-db EXIF Tool Extension,eXist-db NoSQL Database XQuery EXIF Tool Extension,,,
extensions/expath/pom.xml,exist-expath,,eXist-db EXPath Extensions,eXist NoSQL Database EXPath Modules,,,
extensions/exquery/modules/pom.xml,exist-exquery-modules,,eXist-db EXQuery Extension Modules,eXist-db NoSQL Database EXQuery Extension Modules,,,
extensions/exquery/modules/request/pom.xml,exist-exquery-request-module,,eXist-db EXQuery Request Module,eXist-db NoSQL Database EXQuery Request Module,,,
extensions/exquery/pom.xml,exist-exquery,,eXist-db EXQuery Extensions,eXist-db NoSQL Database EXQuery Extensions,,,
extensions/exquery/restxq/pom.xml,exist-restxq,,eXist-db RESTXQ Extension,eXist NoSQL Database RESTXQ Implementation,,,
extensions/images/pom.xml,exist-images,,eXist-db Images Extension,eXist-db NoSQL Database Images Extension,,,
extensions/indexes/indexes-integration-tests/pom.xml,indexes-integration-tests,,eXist-db Index Integration Tests,eXist-db NoSQL Database Index Integration Tests,,,
extensions/indexes/lucene/pom.xml,exist-index-lucene,,eXist-db Lucene Index,eXist-db NoSQL Database Lucene Index,,,
extensions/indexes/ngram/pom.xml,exist-index-ngram,,eXist-db NGram Index,eXist-db NoSQL Database n-gram Index,,,
extensions/indexes/pom.xml,exist-indexes,,eXist-db Index Extensions,eXist-db NoSQL Database Index Extensions,,,
extensions/indexes/range/pom.xml,exist-index-range,,eXist-db Lucene Range Index,eXist-db NoSQL Database Lucene Range Index,,,
extensions/indexes/sort/pom.xml,exist-index-sort,,eXist-db Sort Index,eXist-db NoSQL Database Sort Index,,,
extensions/indexes/spatial/pom.xml,exist-index-spatial,,eXist-db Spatial Index,eXist-db NoSQL Database Spatial Index,,,
extensions/indexes/vector-it/pom.xml,exist-vector-integration-test,,eXist-db Vector Integration Tests,Integration tests for Lucene vector search and ONNX embedding models,,,
extensions/modules/cache/pom.xml,exist-cache,,eXist-db Cache Module,eXist-db Cache Module,,,
extensions/modules/compression/pom.xml,exist-compression,,eXist-db Compression Module,eXist-db XQuery Compression Module,,,
extensions/modules/counter/pom.xml,exist-counter,,eXist-db Counter Module,eXist-db XQuery Counter Module,,,
extensions/modules/cqlparser/pom.xml,exist-cqlparser,,eXist-db CQL Parser Module,eXist-db XQuery CQL Parser Module,,,
extensions/modules/example/pom.xml,exist-example,,eXist-db Example Module,eXist-db XQuery Example Module,,,
extensions/modules/exi/pom.xml,exist-exi,,eXist-db EXI Module,eXist-db XQuery EXIficient Module,,,
extensions/modules/expathrepo/expathrepo-trigger-test/pom.xml,exist-expathrepo-trigger-test,,eXist-db EXPath Repository Module - Trigger Tests,eXist-db XQuery EXPath Repository Module - Trigger Tests,,,
extensions/modules/expathrepo/pom.xml,exist-expathrepo,,eXist-db EXPath Repository Module,eXist-db XQuery EXPath Repository Module,,,
extensions/modules/file/pom.xml,exist-file,,eXist-db File Module,eXist-db XQuery File Module,,,
extensions/modules/image/pom.xml,exist-image,,eXist-db Image Module,eXist-db XQuery Image Module,,,
extensions/modules/jndi/pom.xml,exist-jndi,,eXist-db JNDI Module,eXist-db XQuery Java Naming and Directory Interface Module,,,
extensions/modules/mail/pom.xml,exist-mail,,eXist-db Email Module,eXist-db XQuery Email Module,,,
extensions/modules/persistentlogin/pom.xml,exist-persistentlogin,,eXist-db Persistent Login Module,eXist-db XQuery Persistent Login Module,,,
extensions/modules/pom.xml,exist-modules,,eXist-db Extension XQuery Modules,eXist-db Extension XQuery Modules,,,
extensions/modules/process/pom.xml,exist-process,,eXist-db Process Module,eXist-db XQuery Process Module,,,
extensions/modules/scheduler/pom.xml,exist-scheduler,,eXist-db Scheduler Module,eXist-db NoSQL Database Scheduler Module,,,
extensions/modules/simpleql/pom.xml,exist-simpleql,,eXist-db SimpleQL Module,eXist-db XQuery Simple Query Language Module,,,
extensions/modules/sql-oracle/pom.xml,exist-sql-oracle,,eXist-db Oracle SQL Module,eXist-db XQuery Oracle SQL Module,,,
extensions/modules/sql/pom.xml,exist-sql,,eXist-db SQL Module,eXist-db XQuery SQL Module,,,
extensions/modules/xmldiff/pom.xml,exist-xmldiff,,eXist-db XML Diff Module,eXist-db XQuery XML Diff Module,,,
extensions/modules/xslfo/pom.xml,exist-xslfo,,eXist-db XSL:FO Module,eXist-db XQuery XSL:FO Module,,,
extensions/pom.xml,exist-extensions,,eXist-db Extensions,eXist-db NoSQL Database Extensions,,,
extensions/security/activedirectory/pom.xml,exist-security-activedirectory,,eXist-db Active Directory Security Module,eXist-db NoSQL Database Active Directory Security Module,,,
extensions/security/iprange/pom.xml,exist-security-iprange,,eXist-db IP Range Security Module,eXist-db NoSQL Database IP Range Security Module,,,
extensions/security/ldap/pom.xml,exist-security-ldap,,eXist-db LDAP Security Module,eXist-db NoSQL Database LDAP Security Module,,,
extensions/security/pom.xml,exist-security,,eXist-db Extension Security Modules,eXist-db Extension Security Modules,,,
extensions/vector/pom.xml,exist-vector,,eXist-db Vector Embedding Extension,eXist-db Vector Embedding Extension (ONNX local models),,,
extensions/webdav/pom.xml,exist-webdav,,eXist-db WebDAV Extension,eXist-db NoSQL Database WebDAV Extension,,,
extensions/xqdoc/pom.xml,exist-xqdoc,,eXist-db xqDoc Extension,eXist-db NoSQL Database xqDoc Extension,,,
pom.xml,exist,,eXist-db,eXist-db multi-module project,,,
