Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.xmlresolver:xmlresolver:6.0.21,org.xmlresolver,,Resolver,1,
org.jgrapht:jgrapht-core:1.5.3,org.jgrapht,,"Graph, TransitNodeRoutingShortestPath, ShortestPathAlgorithm, SupplierUtil, DefaultEdge, ConcurrencyUtil, DefaultGraphType",1,
org.jgrapht:jgrapht-opt:1.5.3,org.jgrapht,,FastutilMapGraph,1,
org.exist-db:exist-saxon-regex:9.4.0-9.e1,org.exist-db,,"RegularExpression, RegexSyntaxException, JDK15RegexTranslator",1,
com.evolvedbinary.thirdparty.org.apache.xmlrpc:xmlrpc-common:5.0.0,com.evolvedbinary.thirdparty.org.apache.xmlrpc,,"XmlRpcStreamConfig, TypeFactory, RecursiveTypeParserImpl",1,
org.apache.ws.commons.util:ws-commons-util:1.0.2,org.apache.ws.commons.util,,NamespaceContextImpl,1,
com.evolvedbinary.thirdparty.org.apache.xmlrpc:xmlrpc-server:5.0.0,com.evolvedbinary.thirdparty.org.apache.xmlrpc,,"XmlRpcServlet, RequestProcessorFactoryFactory.RequestProcessorFactory, AbstractReflectiveHandlerMapping, XmlRpcHandlerMapping, RequestProcessorFactoryFactory.RequestSpecificProcessorFactoryFactory, RequestProcessorFactoryFactory, XmlRpcServletServer",1,
org.quartz-scheduler:quartz:2.5.2,org.quartz-scheduler,,"JobExecutionException, StatefulJob, JobExecutionContext, JobDataMap",1,
jakarta.xml.bind:jakarta.xml.bind-api:4.0.5,jakarta.xml.bind,,"XmlSchema, XmlNsForm",1,
com.evolvedbinary.multilock:multilock:1.0.1,com.evolvedbinary.multilock,,MultiLock,1,
org.aspectj:aspectjrt:1.9.25.1,org.aspectj,,"JoinPoint, Pointcut, Before, MethodSignature, Aspect, AfterReturning",1,
se.softhouse:jargo:0.4.14,se.softhouse,,"CommandLineParser, Argument, ArgumentException, ParsedArguments",1,
org.apache.commons:commons-pool2:2.13.1,org.apache.commons,,"GenericObjectPool, GenericObjectPoolConfig",1,
org.expath.packaging:pkg-java:2.1.1,org.expath.packaging,,"FileSystemStorage.FileSystemResolver, Package, XMLStreamHelper, Storage.NotExistException, Repository, DescriptorExtension, PackageException",1,
com.evolvedbinary.thirdparty.org.apache.xmlrpc:xmlrpc-client:5.0.0,com.evolvedbinary.thirdparty.org.apache.xmlrpc,,"XmlRpcClientConfigImpl, XmlRpcClient",1,
org.exist-db.thirdparty.javax.xml.xquery:xqjri:20080114-133351,org.exist-db.thirdparty.javax.xml.xquery,,"XQItemType, XQException",1,
commons-logging:commons-logging:1.3.6,commons-logging,,"Log, LogFactory",1,
org.bouncycastle:bcprov-jdk18on:1.84,org.bouncycastle,,"Blake2bDigest, ExtendedDigest",1,
com.fasterxml.uuid:java-uuid-generator:5.2.0,com.fasterxml.uuid,,"NameBasedGenerator, RandomBasedGenerator, Generators",1,
com.fifesoft:rsyntaxtextarea:3.6.2,com.fifesoft,,"RSyntaxTextArea, SyntaxConstants, RTextScrollPane",1,
org.jline:jline:4.0.12,org.jline,,"Candidate, History, ParsedLine, UserInterruptException, LineReader, LineReaderBuilder, EndOfFileException, Terminal",1,
org.eclipse.jetty:jetty-webapp:11.0.26,org.eclipse.jetty,,WebAppContext,1,
org.eclipse.jetty:jetty-util:11.0.26,org.eclipse.jetty,,"Jetty, LifeCycle, Resource, MultiException, LifeCycle.Listener, PathResource",1,
org.eclipse.jetty:jetty-xml:11.0.26,org.eclipse.jetty,,XmlConfiguration,1,
org.eclipse.jetty:jetty-servlet:11.0.26,org.eclipse.jetty,,"ServletContextHandler, ServletHolder",1,
org.eclipse.jetty:jetty-server:11.0.26,org.eclipse.jetty,,"Handler, ContextHandler, HandlerContainer, NetworkConnector, Server, Connector, HandlerWrapper",1,
org.junit.jupiter:junit-jupiter-api:6.0.3,org.junit.jupiter,,Test,1,
org.xmlunit:xmlunit-legacy:2.11.0,org.xmlunit,,"XMLUnit, XMLAssert",1,
